AANHITW	Hilton Al Ain
GDNAPHX	Hampton by Hilton Gdansk Airport
GDNHGHI	Hilton Gdansk
GEGSPGI	Hilton Garden inn Spokane Airport
GEGVYHX	Hampton Inn and Suites Spokane Valley, WA
GETPAHX	Hampton Inn Gettysburg
GEVTXHX	Hampton Inn and Suites Greenville, TX
GFDHHHX	Hampton Inn Greenfield, IN
GFIMAHX	Hampton Inn and Suites Greenfield, MA
GFKGHGI	Hilton Garden Inn Grand Forks/UND
GFKHXHX	Hampton Inn and Suites Grand Forks, ND
GGGHWHW	Homewood Suites by Hilton Longview
GGGKIHX	Hampton Inn Kilgore, TX
GGGNOHX	Hampton Inn and Suites Longview
GILWYHX	Hampton Inn Gillette
GJTCOHX	Hampton Inn Grand Junction
GJTDTDT	DoubleTree by Hilton Grand Junction
GKTPVDT	The Park Vista Gatlinburg - A DoubleTree by Hilton
GLACCGI	Hilton Garden Inn Glasgow City Centre
GLAGCHX	Hampton Inn Glasgow, United Kingdom
GLAGRHN	Hilton Glasgow Grosvenor
GLAHITW	Hilton Glasgow
GLASTHN	Hilton Strathclyde
GLRMIHX	Hampton Inn Gaylord
GLSDTDT	DoubleTree by Hilton Galveston Beach
GLSGIHF	Hilton Galveston Island
GLSHSHX	Hampton Inn and Suites Galveston, TX
GLXVAHX	Hampton Inn Galax, VA
GNVFLHX	Hampton Inn Gainesville
GNVGFGI	Hilton Garden Inn Gainesville, FL
GNVHWHW	Homewood Suites by Hilton Gainesville, FL
GOIABDI	DoubleTree by Hilton Goa-Arpora-Baga
GOJNNHX	Hampton Inn Nizhny Novgorod Gorkogo Russian Federation
GONCTHX	Hampton Inn Groton
GONNLGI	Hilton Garden Inn Mystic/Groton
GONPFGI	Hilton Garden Inn Preston Casino Area, CT
GPLOHHX	Hampton Inn Gallipolis, OH
GPTAPGI	Hilton Garden Inn Gulfport Airport
GPTDVHT	Home2 Suites by Hilton Biloxi North/D'Iberville, MS
GPTMSHX	Hampton Inn and Suites Gulfport, MS
GRBGHGI	Hilton Garden Inn Green Bay
GRBHXHX	Hampton Inn Green Bay Downtown, Wi
GRBWIHX	Hampton Inn Green Bay
GRDLRHX	Hampton Inn Greenwood
GREALHX	Hampton Inn Greenville, AL
GRINEHX	Hampton Inn Grand Island, NE
GRJPRCI	Conrad Pezula Resort and Spa
GROJPDI	DoubleTree by Hilton Girona, Spain
GRRAIDT	DoubleTree by Hilton Grand Rapids Airport
GRRAPHX	Hampton Inn Grand Rapids North
GRRHLDT	DoubleTree by Hilton Holland
GRRHSHX	Hampton Inn and Suites Grand Rapids, MI
GRRMIHW	Homewood Suites by Hilton Grand Rapids
GRRSOHX	Hampton Inn Grand Rapids South
GRVTNHX	Hampton Inn Greeneville, TN
GRVWYHX	Hampton Inn and Suites Green River, WY
GSBNCHX	Hampton Inn Goldsboro
GSOAPHX	Hampton Inn Greensboro Airport
GSOBLHX	Hampton Inn and Suites Burlington, NC
GSOEAHX	Hampton Inn Greensboro East
GSOFSHX	Hampton Inn and Suites Greensboro/Coliseum Area, NC
GSOGBES	Embassy Suites by Hilton Greensboro-Airport
GSOGRGI	Hilton Garden Inn Greensboro, NC
GSOHTHT	Home2 Suites by Hilton Greensboro Airport, NC
GSOHWHW	Homewood Suites by Hilton Greensboro
GSPCPHW	Homewood Suites by Hilton Greenville, SC
GSPDTHX	Hampton Inn and Suites Greenville-Downtown, SC
GSPELHX	Hampton Inn Easley, SC
GSPESES	Embassy Suites by Hilton Greenville Golf Resort & Conf Ctr
GSPGHHX	Hampton Inn Greenville Haywood, SC
GSPGVGI	Hilton Garden Inn Greenville
GSPHPDT	DoubleTree by Hilton Greensboro
GSPHSHX	Hampton Inn and Suites Greenville/Duncan
GSPODHX	Hampton Inn and Suites Lavonia, GA
GSPSCHF	Hilton Greenville And Towers
GSPSEHX	Hampton Inn and Suites Seneca, SC
GSPSMHX	Hampton Inn Greenville/Simpsonville
GSPTRHX	Hampton Inn Travelers Rest
GSPWDHX	Hampton Inn Greenville Woodruff Road
GSTNCHX	Hampton Inn Charlotte/Gastonia
GTFGFGI	Hilton Garden Inn Great Falls, MT
GTFMTHX	Hampton Inn Great Falls
GTNSCHX	Hampton Inn Georgetowne Marina
GTRCMHX	Hampton Inn and Suites Columbus,  MS
GUAGCGI	Hilton Garden Inn Guatemala City, Guatemala
GUEONHX	Hampton Inn and Suites Guelph, Ontario, Canada
GUMHITW	Hilton Guam Resort & Spa
GUPGIGI	Hilton Garden Inn Gallup, NM
GVANYHX	Hampton Inn Geneva, NY
GVEALHX	Hampton Inn Guntersville
GVITXHX	Hampton Inn and Suites Gainesville, TX
GVLFBHX	Hampton Inn and Suites Flowery Branch, GA
GVLGAHX	Hampton Inn Gainesville, GA
GVLGNGI	Hilton Garden Inn Gainesville
GVNCCHF	Hilton University of Florida
GWSCOHX	Hampton Inn Glenwood Springs
GXYCOHX	Hampton Inn and Suites Greeley, CO
GYEHIHF	Hilton Colon Guayaquil
GYYMRHX	Hampton Inn Merrillville
GYYSVHX	Hampton Inn and Suites Schererville
GZTCCHX	Hampton Inn Gaziantep City Centre
HADMAHX	Hampton Inn Hadley, MA
HAMLAHX	Hampton Inn Hammond
HAMRHQQ	Reichshof Hamburg, Curio Collection by Hilton
HANHITW	Hilton Hanoi Opera
HANOPGI	Hilton Garden Inn Hanoi
HANPAHX	Hampton Inn Hanover
HARCLHX	Hampton Inn Carlisle
HARGHHX	Hampton Inn Harrisburg/Grantville
HARHSHW	Homewood Suites Harrisburg East
HARHWHW	Homewood Suites by Hilton Harrisburg-West Hershey Area
HARNOHX	Hampton Inn and Suites Harrisburg/North, PA
HARPAHX	Hampton Inn Harrisburg East (Hershey)
HBGHAGI	Hilton Garden Inn Hattiesburg, MS
HBGMSHX	Hampton Inn Hattiesburg, MS
HBGWGHX	Hampton Inn and Suites Wiggins, MS
HCKSEGI	Hilton Garden Inn Hickory, NC
HCVKYHX	Hampton Inn Horse Cave
HDFGBHW	Homewood Suites by Hilton Hartford South-Glastonbury
HDSNCHX	Hampton Inn Henderson
HELAIHI	Hilton Helsinki Airport
HELHIHI	Hilton Helsinki Strand
HELKJHI	Hilton Helsinki Kalastajatorppa
HELMTHX	Hampton Inn Helena
HERPAHX	Hampton Inn and Suites Hershey
HFDFAHX	Hampton Inn and Suites Farmington, CT
HFDFMHW	Homewood Suites by Hilton Hartford-Farmington
HFDHHHF	Hilton Hartford
HFDMCHX	Hampton Inn and Suites Hartford-Manchester, CT
HFDMYHX	Hampton Inn and Suites Mystic, CT
HFDSTHW	Homewood Suites by Hilton Southington, CT
HGRHWHW	Homewood Suites by Hilton Hagerstown, MD
HGRMDHX	Hampton Inn Hagerstown
HGRMGHX	Hampton Inn Hagerstown I-81, MD
HHHBFGI	Hilton Garden Inn Beaufort, SC
HHHHEGI	Hilton Garden Inn Hilton Head
HIBHXHX	Hampton Inn Hibbing, MN
HIIAZHX	Hampton Inn Lake Havasu City, AZ
HILSCHX	Hampton Inn Hilton Head, SC
HKTHIHI	Hilton Phuket Arcadia Resort & Spa
HKTSBDI	DoubleTree Resort by Hilton Phuket - Surin Beach
HKYNCHX	Hampton Inn Hickory, NC (New)
HLBTXHX	Hampton Inn Hillsboro, TX
HLDMIHX	Hampton Inn Holland
HLGTXHX	Hampton Inn and Suites Harlingen
HLGWHHX	Hampton Inn and Suites Wheeling - The Highlands, WV
HLNGAHX	Hampton Inn Helen
HLVVAHX	Hampton Inn Hillsville
HMORSHX	Hampton Inn Hermosillo, Mexico
HMTCAHX	Hampton Inn and Suites Hemet, CA
HNLESES	Embassy Suites by Hilton Waikiki-Beachwalk
HNLHVHH	Hilton Hawaiian Village
HNLKADT	DoubleTree by Hilton Alana - Waikiki Beach
HNLKUGI	Hilton Garden Inn Waikiki Beach, HI
HNLWAHF	Hilton Waikiki Beach, HI
HNLWBGV	Hokulani Waikiki by Hilton Grand Vacations
HNVHHHX	Hampton Inn Hinesville
HOLHWHW	Homewood Suites by Hilton Holyoke-Springfield/North
HOPKIHX	Hampton Inn and Suites Hopkinsville, KY
HOTARHX	Hampton Inn Hot Springs
HOTESES	Embassy Suites by Hilton Hot Springs
HOUAMGI	Hilton Garden Inn Houston NW/America Plaza, TX
HOUAPDT	DoubleTree by Hilton Houston Intercontinental Airport
HOUBIHX	Hampton Inn and Suites Houston-Bush Intercontinental Airport
HOUBTHX	Hampton Inn Houston/Baytown
HOUBYHW	Homewood Suites By Hilton Houston Intercontinental Arpt
HOUCLHW	Homewood Suites by Hilton Houston/Clear Lake
HOUCVHH	Hilton Americas - Houston
HOUCYHX	Hampton Inn and Suites Houston/Cypress Station
HOUDBDT	DoubleTree by Hilton Houston-Downtown
HOUDNES	Embassy Suites by Hilton Houston Downtown
HOUDPHX	Hampton Inn Houston/Deer Park
HOUECHW	Homewood Suites by Hilton Houston West/Energy Corridor, TX
HOUENGI	Hilton Garden Inn Houston Energy Corridor
HOUESES	Embassy Suites by Hilton Houston-Near The Galleria
HOUEYES	Embassy Suites by Hilton Houston - Energy Corridor
HOUGHGI	Hilton Garden Inn Houston Galleria
HOUGLHW	Homewood Suites by Hilton Houston-Near the Galleria, TX
HOUGPHF	Hilton Houston North
HOUGWDT	DoubleTree by Hilton Houston - Greenway Plaza
HOUHBHX	Hampton Inn Houston Hobby Airport
HOUHKHT	Home2 Suites by Hilton Houston/Katy, TX
HOUHMHX	Hampton Inn Humble
HOUHNGI	Hilton Garden Inn Houston Northwest
HOUHODT	DoubleTree by Hilton Houston Hobby Airport
HOUHSHX	Hampton Inn and Suites Houston Clearlake Nasa
HOUHWHW	Homewood Suites by Hilton Houston Willowbrook Mall
HOUICGI	Hilton Garden Inn Houston/Bush Intercontinental Airport
HOUKFHX	Hampton Inn and Suites Houston I-10 Central, TX
HOUKWHW	Homewood Suites by Hilton Houston/Kingwood Parc/Airport Area
HOUKYHX	Hampton Inn and Suites Houston/Katy
HOULCHX	Hampton Inn and Suites Houston/League City, TX
HOUMCHF	Hilton Houston Plaza-Medical Center
HOUMDHX	Hampton Inn and Suites Houston Astrodome
HOUNBHF	Hilton Houston NASA Clear Lake
HOUNFHX	Hampton Inn Houston North
HOUNHHX	Hampton Inn and Suites Houston North IAH Geenspoint
HOUNOHX	Hampton Inn Houston/Brookhollow
HOUNTHW	Homewood Suites by Hilton Houston-Northwest/CY-FAIR
HOUNWHX	Hampton Houston Northwest
HOUPDHX	Hampton Inn and Suites Houston/Pasadena, TX
HOUPEGI	Hilton Garden Inn Houston Pearland
HOUPLHX	Hampton Inn Pearland
HOUPOHX	Hampton Inn Houston Near the Galleria
HOURGHX	Hampton Inn & Suites Houston/Rosenberg, TX
HOUSDHW	Homewood Suites by Hilton Houston-Stafford, TX
HOUSGGI	Hilton Garden Inn Houston Westbelt
HOUSLGI	Hilton Garden Inn Houston/Sugar Land, TX
HOUSOHX	Hampton Inn and Suites Houston-Westchase, TX
HOUSTHX	Hampton Inn Houston Stafford
HOUSWHF	Hilton Houston-Southwest
HOUSYDT	DoubleTree Suites by Hilton Houston by the Galleria
HOUTSQQ	The Sam Houston Hotel-Curio Collection By Hilton
HOUUHHF	Hilton University Of Houston
HOUWCHF	Hilton Houston-Westchase
HOUWDGI	Hilton Garden Inn Houston/Woodlands
HOUWEHX	Hampton Inn Houston I-10 West/Energy Corridor
HOUWKGI	Hilton Garden Inn Houston West/Katy, TX
HOUWLHW	Homewood Suites by Hilton The Woodlands, Texas
HOUWMHX	Hampton Inn Houston Willowbrook Mall
HOUWNGI	Hilton Garden Inn Houston/Clear Lake NASA
HOUWTHW	Homewood Suites by Hilton Houston/Westchase
HPNNAGI	Hilton Garden Inn Nanuet
HPNNUHX	Hampton Inn Nanuet, NY
HPTNCHX	Hampton Inn High Point
HRBPAHX	Hampton Inn Harrisburg West
HRGHITW	Hilton Hurghada Plaza
HRGHRHI	Hilton Hurghada Resort
HRGLBHI	Hilton Hurghada Long Beach Resort
HROBCHH	Hilton Branson Convention Center Hotel
HROBRHH	Hilton Promenade at Branson Landing
HRSARHX	Hampton Inn Harrison, AR
HSBSOHX	Hampton Inn Harrisonburg-South, VA
HSBUVHX	Hampton Inn Harrisonburg
HSTFLHX	Hampton Inn and Suites Homestead, FL
HSVALHX	Hampton Inn Huntsville-Arsenal/South Pkway, AL
HSVCLHX	Hampton Inn Cullman
HSVESES	Embassy Suites by Hilton Huntsville
HSVGSHW	Homewood Suites by Hilton Huntsville-Downtown
HSVHCHX	Hampton Inn and Suites Huntsville-Southeast/Hampton Cove, AL
HSVHRHX	Hampton Inn and Suites Huntsville/Research Park Area, AL
HSVHWHW	Homewood Suites by Hilton Huntsville/Village of Providence
HSVMPDT	DoubleTree Suites by Hilton Huntsville South
HSVMSHX	Hampton Inn Huntsville/Madison
HSVRPHT	Home2 Suites by Hilton Huntsville/Research Park Area, AL
HSVSBHX	Hampton Inn and Suites Scottsboro, AL
HSVSCGI	Hilton Garden Inn Huntsville/Space Center
HSVSOGI	Hilton Garden Inn Huntsville South/Redstone Arsenal, AL
HSVUVHX	Hampton Huntsville
HTSBVHX	Hampton Inn Huntington/Barboursville
HTSHUHX	Hampton Inn Huntington University Area, WV
HUBWHHF	The Waterfront Beach Hilton Resort
HUFHHHX	Hampton Terre Haute
HUFTHGI	Hilton Garden Inn Terre Haute, IN
HUMLAHX	Hampton Inn Houma
HUMMCHX	Hampton Inn and Suites Morgan City, LA
HUMTHHX	Hampton Inn and Suites Thibodaux, LA
HUTKSHX	Hampton Inn Hutcinson
HUYLNDI	DoubleTree by Hilton Lincoln
HVLNCHX	Hampton Inn Havelock
HVNOBHX	Hampton Inn Shelton, CT
HVNSHGI	Hilton Garden Inn Shelton
HYACCDT	DoubleTree by Hilton Cape Cod - Hyannis
HYNCCHX	Hampton Inn and Suites Cape Cod/West Yarmouth, MA
HYSKSHX	Hampton Inn Hays, KS
HZLHHHX	Hampton Inn Hazleton
IADAHHF	Hilton Washington-Dulles
IADCTHX	Hampton Inn and Suites Charles Town, WV
IADDNGI	Hilton Garden Inn Dulles North, VA
IADFHGI	Hilton Garden Inn Fairfax
IADFRGI	Hilton Garden Inn Frederick, MD
IADMRHF	Hilton Washington DC/Rockville Executive Meeting Center
IADSLDT	DoubleTree by Hilton Dulles Airport- Sterling
IAGDTDT	DoubleTree by Hilton Resort & Spa Fallsview/Niagara Falls
IAGESES	Embassy Suites by Hilton Niagara Fallsview
IAGRRHX	Hampton Inn Niagara Falls North of the Falls
IAHMCHX	Hampton Inn and Suites Missouri City, TX
IAHSPHW	Homewood Suites by Hilton The Woodlands/Springwoods Village
IAHTWES	Embassy Suites by Hilton The Woodlands at Hughes Landing
IAHWSHH	Hilton Houston-Post Oak
IASHXHX	Hampton By Hilton Iasi
ICTARDT	DoubleTree by Hilton Wichita Airport
ICTDBHX	Hampton Inn Derby, KS
ICTEAHX	Hampton Inn Wichita East
ICTHWHW	Homewood Suites by Hilton @ The Waterfront
ICTNOHX	Hampton Inn and Suites Wichita/North, KS
ICTSCHX	Hampton Inn and Suites Mulvane I-35, KS
ICTWHGI	Hilton Garden Inn Wichita
IDAAPHX	Hampton Inn Idaho Falls/Airport, ID
IDAIDHX	Hampton Inn Idaho Falls At The Mall, ID
IDAIFGI	Hilton Garden Inn Idaho Falls, ID
IDIPAHX	Hampton Inn and Suites Indiana, PA
IGMAZHX	Hampton Inn and Suites Kingman, AZ
IJXILHX	Hampton Inn Jacksonville, IL
IKKILHX	Hampton Inn Bradley/Kankakee
ILGCHHF	Hilton Wilmington-Christiana
ILGCPDT	DoubleTree by Hilton Wilmington
ILGDTDT	DoubleTree by Hilton Wilmington Downtown
ILGHWHW	Homewood Suites by Hilton Wilmington/Brandywine Valley
ILMEWHX	Hampton Inn Wilmington-Eastwood, NC
ILMMDHX	Hampton Inn Wilmington Medical Park
ILMMTHW	Homewood Suites by Hilton Wilmington/Mayfaire
ILMNCHF	Hilton Wilmington Riverside
ILMTCGI	Hilton Garden Inn Wilmington Mayfaire Town Center
ILMWVHX	Hampton Inn and Suites Wilmington/Wrightsville Beach
INDAGGI	Hilton Garden Inn Indianapolis Airport, IN
INDARHX	Hampton Inn and Suites Indianapolis-Airport, IN
INDCAGI	Hilton Garden Inn Indianapolis/Carmel
INDCICI	Conrad Indianapolis
INDCMHX	Hampton Inn Indianapolis/Carmel
INDCWHX	Hampton Inn & Suites Crawfordsville, IN
INDDHGI	Hilton Garden Inn Indianapolis Downtown
INDDNHF	Hilton Indianapolis
INDDTHX	Hampton Inn Indianapolis Downtown
INDFHGI	Hilton Garden Inn Indianapolis Northeast/Fishers
INDFSHX	Hampton Inn and Suites Indianapolis/Fishers
INDGWGI	Hilton Garden Inn Indianapolis South/Greenwood, IN
INDHWHW	Homewood Suites by Hilton Indianapolis-Downtown, IN
INDKCHW	Homewood Suites by Hilton Indianapolis @ the Crossing
INDNEHX	Hampton Inn Indianapolis/Castleton
INDNHES	Embassy Suites by Hilton Indianapolis-North
INDNOGI	Hilton Garden Inn Indianapolis/Northwest, IN
INDNWHW	Homewood Suites by Hilton Indianapolis Northwest, IN
INDOMDT	DoubleTree Suites by Hilton Indianapolis-Carmel
INDPDHW	Homewood Suites by Hilton Indianapolis Airport/Plainfield
INDPFHX	Hampton Inn Indianapolis/Plainfield
INDSBHX	Hampton Inn Shelbyville
INDSHHX	Hampton Inn Indianapolis East
INDSTHX	Hampton Inn Indianapolis South
INDWBHX	Hampton Inn and Suites Brownsburg, IN
INDWDHX	Hampton Inn Indianapolis Northwest
INDWWES	Embassy Suites by Hilton Indianapolis-Downtown
INDZVHX	Hampton Inn Indianapolis/Zionsville, IN
INNHIHI	Hilton Innsbruck
INTBRHX	Hampton Inn Bermuda Run/Advance I-40, NC
INTDBHX	Hampton Inn and Suites Dobson, NC
INTESES	Embassy Suites by Hilton Winston Salem
INTSTHX	Hampton Inn Winston-Salem Hanes Mall
INTUVHX	Hampton Inn and Suites Winston-Salem/University Area, NC
INTWSGI	Hilton Garden Inn Winston-Salem/Hanes Mall, NC
INTWUDT	DoubleTree by Hilton Winston Salem University
INVCOHN	Hilton Coylumbridge
IOWCVHW	Homewood Suites by Hilton Coralville - Iowa River Landing
IOWICHX	Hampton Inn Iowa City/University Area, IA
IPTTSHX	Hampton Inn and Suites Williamsport-Faxon Exit, PA
IRSMIHX	Hampton Inn Sturgis/Lagrange
ISNNRHX	Hampton Inn and Suites Williston, ND
ISONCHX	Hampton Inn Kinston
ISPAHGI	Hilton Garden Inn Islip / MacArthur Airport
ISPBHHX	Hampton Inn Long Island/Brookhaven
ISPHHHF	Hilton Long Island-Huntington
ISPICGI	Hilton Garden Inn New York Long Island City/Manhattan View,
ISPMVHT	Home2 Suites Long Island City
ISPNYHX	Hampton Inn Long Island/Islandia
ISPRHGI	Hilton Garden Inn Riverhead, NY
ISPSBGI	Hilton Garden Inn Stony Brook, NY
ISTATHX	Hampton Inn Istanbul Atakoy, TR
ISTAVDI	DoubleTree by Hilton Istanbul - Avcilar
ISTBHHI	Hilton Istanbul Bomonti Hotel & Conference Center, Turkey
ISTGHGI	Hilton Garden Inn Istanbul Golden Horn
ISTHCCI	Conrad Istanbul Bosphorus
ISTHITW	Hilton Istanbul Bosphorus
ISTIAGI	Hilton Garden Inn Istanbul Ataturk Airport
ISTIKDI	DoubleTree by Hilton Istanbul - Piyalepasa
ISTIMDI	DoubleTree by Hilton Istanbul - Moda
ISTKBHX	Hampton Inn Istanbul, Kayasehir, Turkey
ISTKOHI	Hilton Istanbul Kozyatagi
ISTOTDI	DoubleTree by Hilton Hotel Istanbul - Old Town
ISTPHTW	Hilton ParkSA Istanbul
ISTTIDI	DoubleTree by Hilton Hotel Istanbul - Tuzla
ITHHWHW	Homewood Suites by Hilton Ithaca, NY
ITHNYHX	Hampton Inn Ithaca, NY
ITOHNDT	Doubletree by Hilton Hilo, HI
IZMGIGI	Hilton Garden Inn Izmir Bayrakli
IZMHITW	Hilton Izmir
IZMIADI	DoubleTree by Hilton Izmir - Alsancak
JACHWHW	Homewood Suites by Hilton Jackson, WY
JACJHHX	Hampton Inn Jackson Hole, WY
JAIGHHI	Hilton Jaipur
JANCTHX	Hampton Inn Jackson/Clinton, MS
JANEAHX	Hampton Inn Jackson East, MS
JANHSHX	Hampton Inn & Suites Jackson Downtown-Coliseum
JANHWHW	Homewood Suites by Hilton Jackson
JANJHHF	Hilton Jackson
JANKZHX	Hampton Inn Yazoo City, MS
JANMHGI	Hilton Garden Inn Jackson/Madison, MS
JANPLHX	Hampton Inn Jackson/Pearl International Airport
JANRDHX	Hampton Inn Jackson/Richland-Highway 49, MS
JANRGES	Embassy Suites by Hilton Jackson - North Ridgeland
JANRLHT	Home2 Suites by Hilton Jackson/Ridgeland, MS
JANSPGI	Hilton Garden Inn Jackson/Pearl
JANTWGI	Hilton Garden Inn Jackson Downtown
JAXAHGI	Hilton Garden Inn Jacksonville Airport
JAXARDT	DoubleTree by Hilton Jacksonville Airport
JAXBPHX	Hampton Inn and Suites Jacksonville-South/Bartram Park, FL
JAXBYHX	Hampton Inn Jacksonville I-295 East/Baymeadows, FL
JAXDNHW	Homewood Suites Jacksonville Southbank
JAXDPGI	Hilton Garden Inn Jacksonville Deerwood Park
JAXDTHX	Hampton Inn Jacksonville-Downtown-I-95, FL
JAXDWHX	Hampton Inn and Suites Jacksonville-Deerwood Park, FL
JAXEAHX	Hampton Inn and Suites Jacksonville-East/Beach Blvd., FL
JAXHSHX	Hampton Inn and Suites Jacksonville-Airport, FL
JAXHWHW	Homewood Suites by Hilton Jacksonville-South/St. Johns Ctr
JAXJAES	Embassy Suites by Hilton Jacksonville-Baymeadows
JAXJBHX	Hampton Inn Jacksonville Beach/Oceanfront, FL
JAXJRDT	DoubleTree by Hilton Jacksonville Riverfront
JAXJSHX	Hampton Inn Jacksonville South/I-95 at JTB, FL
JAXOBGI	Hilton Garden Inn Jacksonville/Orange Park, FL
JAXPBHX	Hampton Inn Jacksonville/Ponte Vedra Beach-Mayo Clinic
JAXPVGI	Hilton Garden Inn Ponte Vedra
JAXRSHX	Hampton Inn Jacksonville East
JAXSBGI	Hilton Garden Inn Jacksonville Downtown
JAXWEHX	Hampton Inn Jacksonville I-10
JBKCADT	DoubleTree by Hilton Berkeley Marina, CA
JBRARHX	Hampton Inn Jonesboro
JBRJBGI	Hilton Garden Inn Jonesboro
JEDHIHI	Jeddah Hilton
JEDWAWA	Waldorf Astoria Jeddah - Qasr Al Sharq
JEFCCHX	Hampton Inn Jefferson City @ Capital Mall
JEFDTDT	DoubleTree by Hilton Jefferson City
JFKCPHW	Homewood Suites Carle Place/Garden City
JFKETDT	DoubleTree by Hilton Tinton Falls-Eatontown
JFKMLGI	Hilton Garden Inn Melville, NY
JFKQAGI	Hilton Garden Inn Queens/JFK Airport
JFKWEGI	Hilton Garden Inn Westbury
JHBDTDI	DoubleTree by Hilton Johor Bahru
JHCGCHX	Hampton Inn Garden City, NY
JHMGWWA	Grand Wailea Resort Hotel & Spa
JHWNKHX	Hampton Inn and Suites Jamestown, NY
JKTDIDI	DoubleTree by Hilton Jakarta - Diponegoro
JKVNCHT	Home2 Suites by Hilton Jacksonville, NC
JLNJMHW	Homewood Suites by Hilton Joplin, MO
JLNMOHX	Hampton Inn Joplin
JMSSWHX	Hampton Inn Jamestown, ND
JNBSATW	Hilton Sandton
JNSWIHX	Hampton Inn Janesville
JNVNCHX	Hampton Inn Jonesville/Elkin
JOLILHX	Hampton Inn Joliet @ I-55
JOLRBHX	Hampton Inn Joliet @ I-80
JOSEDT	DoubleTree by Hilton San Jose
JRSWAWA	Waldorf Astoria Jerusalem
JSBGIGI	Hilton Garden Inn San Bernardino, CA
JSBMVHX	Hampton Inn and Suites Moreno Valley, CA
JSTPAHX	Hampton Inn Johnstown
JVLCRHX	Hampton Inn Beloit
JVLEKHX	Hampton Inn Elkhorn, WI
JXNMIHX	Hampton Inn Jackson, MI
KALHWHW	Homewood Suites by Hilton Kalispell, MT
KAMBCHX	Hampton Inn Kamloops
KAMLODT	DoubleTree by Hilton Kamloops
KANKSHX	Hampton Inn Kansas City/Overland Park
KBPHIHI	Hilton Kyiv (Kiev) Ukraine
KCOHXHX	Hampton Inn Kocaeli, Turkey
KGPTNHX	Hampton Inn Kingsport
KILHHHX	Hampton Inn Killeen
KJAMSGI	Hilton Garden Inn Krasnoyarsk
KLFSSGI	Hilton Garden Inn Kaluga
KNGLDHX	Hampton Inn Kingsland, GA
KNXAHHF	Hilton Knoxville Airport, TN
KNXKHHF	Hilton Knoxville
KOAHWHH	Hilton Waikoloa Village
KOAKLGV	Kings' Land by Hilton Grand Vacations
KOKMOHX	Hampton Inn and Suites Kokomo
KOLCAES	Embassy Suites by Hilton Irvine-Orange County Airport
KRKAPGI	Hilton Garden Inn Krakow Airport
KRKCCDI	DoubleTree by Hilton Krakow Hotel & Convention Center
KRKGIGI	Hilton Garden Inn Krakow
KRKHXHX	Hampton by Hilton Krakow
KRRGIGI	Hilton Garden Inn Krasnodar
KSCDTDI	DoubleTree by Hilton Kosice
KUCHITW	Hilton Kuching
KUFSAHX	Hampton Inn Samara, Russia
KULDTDI	DoubleTree by Hilton Kuala Lumpur
KULHIHI	Hilton Kuala Lumpur
KUTKYHX	Hampton Inn Kuttawa/Eddyville
KVLTXHX	Hampton Inn Kerrville, TX
KVXGIGI	Hilton Garden Inn Kirov
KWIHIHI	Hilton Kuwait Resort
KYAGIGI	Hilton Garden Inn Konya
KYLGOHX	Hampton Inn Key Largo, FL
KYLGRHF	Key Largo Grande Hotel, a Hilton Resort
KZNCCDI	DoubleTree by Hilton Kazan City Center
LAFHHHX	Hampton Inn Lafayette, IN
LAFINHW	Homewood Suites by Hilton Lafayette
LAFWLGI	Hilton Garden Inn West Lafayette Wabash Landing
LAGGAHX	Hampton Inn LaGrange near Callaway Gardens, GA
LALLWHX	Hampton Inn and Suites Lake Wales, FL
LALPPHX	Hampton Inn and Suites Lakeland-South/Polk Parkway, FL
LAMNMHX	Hampton Inn and Suites Los Alamos
LANETHX	Hampton Inn East Lansing
LANLWHX	Hampton Inn and Suites Lansing/West, MI
LANOKHX	Hampton Inn and Suites Lansing/Okemos
LAPLAHX	Hampton Inn La Place
LAQCAES	Embassy Suites by Hilton La Quinta Hotel & Spa
LAQHWHW	Homewood La Quinta, CA
LARLAGI	Hilton Garden Inn Laramie
LARWYHX	Hampton Inn Laramie, WY
LASAPHW	Homewood Suites By Hilton - Las Vegas Airport
LASCCES	Embassy Suites by Hilton Las Vegas Conv Ctr-Paradise Road
